n,business_hours
122,"営業時間
ザ・ロビーラウンジでは当面の間、営業時間を変更させていただきます。【営業時間】＜月～土＞7:00 ～ 24:00 (Food LO 23:00, Beverage LO 23:30)＜日＞7:00 ～ 18:00 (17:00 ラストオーダー)※7:00～10:00はご朝食メニューのみのご案内でございます。
日曜営業
定休日
無休"
123,"営業時間
［月～金］6:00～20:00［土・日・祝］7:00～20:00
日曜営業
定休日
無休"
124,"営業時間
7:00～22:00
定休日
不定休"
125,"営業時間
［月～金］7:00～20:00［土・日・祝］8:00～20:00
日曜営業
定休日
無休"
126,"営業時間
11:00～21:00
定休日
不定休"
127,"営業時間
7:00～19:00
定休日
土曜日・日曜日・祝日"
128,"営業時間
［月～金］10:00～19:00［土・日・祝］10:00～18:00
日曜営業
定休日
無休"
129,"営業時間
[月～金]10:00～19:00[土]11:00～19:00
定休日
日、祝日"
130,"営業時間
[月～金]7:00～22:00[土・日・祝]8:00～21:00
定休日
不定休"
131,"営業時間
10:00～18:00(L.O.17:30)
定休日
土曜・日曜・祝日"
132,
133,"営業時間
[月～金]7:30～18:30[土]11:30～17:30
定休日
日曜・祝日・年末年始"
134,"営業時間
[月～金]6:45～22:00[土・日・祝]7:00～22:00
日曜営業
定休日
不定休"
135,
136,"営業時間
11:00～20:00（ドリンクL.O　19:30）（フードL.O　19:00）
日曜営業
定休日
無休"
137,"営業時間
［月～金］7:30～20:00［土］8:00～20:00
定休日
日曜日、祝日"
138,"営業時間
11:00～21:30
定休日
第1土曜日、日曜日"
139,"営業時間
[月～金] 8:00～17:00[土・日] 13:00～17:00"
140,"営業時間
7:00～22:00
定休日
不定休"
141,"営業時間
7:00～22:00[土・日・祝]7:00～20:00
日曜営業"
142,"営業時間
[月～土]11:30～22:00[日・祝]12:00～21:00
日曜営業
定休日
無休"
143,"営業時間
11:00～20:00
定休日
不定休"
144,"営業時間
［月～金］7:00～20:00［土］9:00～18:00［日・祝］10:00～17:00
日曜営業
定休日
無休"
145,"営業時間
平日　07:00 ～ 20:00　土曜　08:00〜19:00
定休日
日曜・祝日"
146,"営業時間
[月～金] 8:00～17:00
定休日
土曜・日曜・祝日"
147,"営業時間
［月～金］6:45～21:00［土・日・祝］8:00～20:00
日曜営業
定休日
無休"
148,"営業時間
［月～金］7:00～20:00［土・日］10:00～19:00
日曜営業
定休日
無休"
149,"営業時間
[月～木]8:00～19:00(L.O.18:30)
定休日
金曜日、土曜日、日曜日、祝日"
150,"営業時間
[月～金]6:45～21:30[土・日・祝]7:30～20:00
日曜営業"
151,"営業時間
[月～金]7:00～21:00[土・日・祝]8:00～19:00
日曜営業
定休日
不定休"
152,"営業時間
【月～土・祝】11:30～22:00※当面は・21時（LO：20時）までの時短営業・土曜日隔週
定休日
日曜日"
153,"営業時間
[月～金]7:00～21:00[土]7:00～20:00[日・祝]8:00～19:00
日曜営業"
154,"営業時間
[月～金]7:30～22:00[土・日・祝]7:30～22:00
日曜営業
定休日
なし"
155,"営業時間
[月～金]7:00～20:00[土・日・祝]9:00～19:00"
156,"営業時間
[月～土]7:00～22:00[日・祝]7:00～21:00
日曜営業
定休日
無休"
157,"営業時間
9:30～17:30
定休日
土曜日、日曜日、祝日"
158,"営業時間
[月〜金]7:00〜22:00[土]7:30〜20:00[日・祝]8:00〜19:00
日曜営業"
159,"営業時間
ランチ　7：30～17：00　（ディナー　17：00～22：00（L.O.21：00）※月曜日は仕込の為臨時休業となる場合がございます夜のコースはご案内可能です土日祝祭日はコース予約制かレンタルスペース営業
定休日
土曜日・日曜日・祝日
レンタルスペース　オードブルは受け付けております
ご相談ください"
160,"営業時間
11:30～21:00(L.O.20:30)
定休日
土曜日、日曜日"
161,"営業時間
11:00～18:00
定休日
日曜日、祝日は不定休"
162,"営業時間
[月～金]7:30～20:00
定休日
土曜日、日曜日"
163,"営業時間
9:00～20:00
定休日
日曜日、祝日"
164,"営業時間
6:30～22:00
日曜営業
定休日
無休"
165,"営業時間
11:00～21:00
日曜営業
定休日
日比谷シャンテに準ずる"
166,"営業時間
[月・水〜金]11:30〜22:30(L.O.22:00)[土日祝]12:00〜19:00(L.O.18:30)
日曜営業
定休日
火曜日"
167,"営業時間
8:00～20:00
日曜営業
定休日
無休（東京ミッドタウン日比谷に準ずる）"
168,"営業時間
※3月21日(月)までは営業時間を変更しております。平日　8:00~20:00土日祝　11:00~20:00(ラストオーダー19:00)ーーーー通常営業月～金       8:00 ～22:00（food L.O.21:00/drink L.O.21:30）土/日/祝    11:00～20:00（food L.O.19:00/drink L.O.19:30）
日曜営業
定休日
無"
169,"営業時間
[月]17:00〜23:00（LO22:30）[火〜木・日]11:00〜23:00（LO22:30）[金・土・祝前日]11:00〜翌5:00（LO4:30）
日曜営業
定休日
元日"
170,"営業時間
営業時間：11：00〜20：00 (⼟⽇祝⽇は19：00まで)
日曜営業
定休日
OOTEMORI休館日"
171,"営業時間
[月～金]06:45～23:00[土・日・祝]07:00～23:00
日曜営業"
172,
173,"営業時間
[月～金]11:00〜19:00(Lo.18:30)[土・日・祝]10:00~19:00(Lo.18:30)
日曜営業
定休日
不定休"
174,"営業時間
平日：7:30 ～ 22:00土曜：7:30 ～ 17:00祝日：9:00 ～ 17:00  
定休日
日曜日"
175,"営業時間
9:00～21:00(L.O.20:30)
日曜営業
定休日
無休"
176,"営業時間
11:00～19:00（喫茶室はL.O.18:30）当面は以下の営業時間に変更12:00～19:00（喫茶室はL.O.18:30）
日曜営業
定休日
年末年始"
177,"営業時間
[月〜金]9:00〜17:00貸切の場合は17:00以降も営業致します。
定休日
土曜日・日曜日・祝日"
178,"営業時間
2021年11月1日より下記の通り営業させて頂きます。平日10:00-21:00休日10:00-21:00※テイクアウト販売のみ(カフェスペースは当面の間お休みさせていただきます)
日曜営業
定休日
年末年始"
179,"営業時間
［火～金・日］12:00～19:00［月］13:00～18:00［土］12:00～20:00 ただし、変更の場合あり。
日曜営業
定休日
不定休（店頭に掲示の月間スケジュール参照。）"
180,
181,"営業時間
8:30～17:30(L.O.17:00)
定休日
土曜日、日曜日、祝日"
182,"営業時間
[月～土]11:00～21:00[日・祝]11:00～19:00
日曜営業
定休日
無休"
183,"営業時間
[月～日]7:00～22:00
日曜営業
定休日
無休"
184,"営業時間
[月～金]7:00～21:00[土]8:00～18:00
定休日
日曜日、祝日"
185,"営業時間
11:30～19:00(L.O.18:30)
日曜営業
定休日
無休"
186,"営業時間
[月～金]7:30～18:00[土]8:30～16:30
定休日
日祝"
187,"営業時間
10:00～20:00
日曜営業
定休日
不定休"
188,
189,"営業時間
11:00～23:00(L.O.22:00)
日曜営業
定休日
無休（ヨドバシカメラに準ずる）"
190,"営業時間
[月～金]7:30～21:00[土・日]9:00～18:00
日曜営業"
191,"営業時間
11:00～21:00
定休日
不定休(ルミネ有楽町店の営業に準ずる)"
192,"営業時間
[月・火・水・木・金]8:00～20:00[土・日・祝]9:00～20:00
日曜営業"
193,"営業時間
[月〜金]7:00〜20:00[土、日祝]10:30〜19:00
日曜営業"
194,"営業時間
[月～金]7:00～19:30[土]8:00～17:00
定休日
日曜・祝日"
195,"営業時間
8:00～17:00
定休日
土曜日、日曜日、祝日"
196,"営業時間
[月～金]7:00～21:00[土]7:30～21:00[日・祝]8:00～20:00
日曜営業
定休日
無休"
197,"営業時間
[月〜金]8:00〜21:00
定休日
土・日・祝"
198,"営業時間
7:30～20:00
定休日
土曜日、日曜日、祝日"
199,"営業時間
モーニング　7:30～12:00ランチタイム12:00～17:30バータイム　17:30～翌2:00土日はバータイムのみ
日曜営業
定休日
不定"
200,"営業時間
[月･火･水･木･金]7:30～21:00[土･日･祝]8:00～18:00
日曜営業
定休日
無休"
201,"営業時間
11:00～20:00Food L.O.19:00・Drink L.O.19:30※貸切にてご利用の際ははお問い合わせください。※緊急事態宣言発令期間中は予告なく変更させていただく場合がございます。ホームページ等でご確認ください。
日曜営業
定休日
年末年始"
202,"営業時間
[月～日]7:00～22:30
日曜営業
定休日
無休"
203,
204,"営業時間
[月～木]6:30～20:30[金]6:30～21:00[土日祝]8:00～20:00
日曜営業
定休日
無休"
205,"営業時間
10:00～22:00(L.O.21:30)"
206,"営業時間
7:00〜22:00
日曜営業
定休日
無休"
207,"営業時間
[月～金]8:00～20:00[土]11:00～20:00
定休日
日曜日、祝日"
208,
209,"営業時間

日曜営業"
210,"営業時間
平日/07：00～22：30土日祝/08：00～20：30
日曜営業
定休日
年中無休"
211,"営業時間
11:00～22:00
日曜営業
定休日
無休"
212,"営業時間
10:00～18:00平日のみモーニングサービスあり(11:00まで)
日曜営業
定休日
年末年始"
213,"営業時間
7:00～21:00
日曜営業
定休日
無"
214,"営業時間

日曜営業
定休日
月曜日"
215,"営業時間
【火曜～金曜】11:30～21:30(L.O.21:00)【月曜、土曜、日曜、祝日】11:30～18:00(L.O.17:30)
日曜営業
定休日
不定休"
216,"営業時間
［月～金］6:45～21:00［土・日・祝］8:00～20:00
日曜営業
定休日
無休"
217,"営業時間
平日　// 10:00〜22:00土日祝　// 10:00〜22:00L.O.　// フード・デザート:20:50 // その他全て21:20
日曜営業
定休日
なし"
218,"営業時間
[月～金]8:00～22:00[土・日・祝]8:00～21:00
日曜営業
定休日
無休（施設に準ずる）"
219,"営業時間
9:00～18:30（L.O.18:00）"
220,"営業時間
[月～金]8:00～22:00[土・日・祝]9:00～21:00
日曜営業
定休日
施設に準ずる"
221,"営業時間
［月～金］7:00～22:00［土・日・祝］8:00～21:00
日曜営業
定休日
無休"
222,"営業時間
11:00～19:00"
223,"営業時間
［月～金］7:30～17:30［土］12:00～17:00［日・祝］定休日
定休日
日曜日、祝日"
224,"営業時間
［月～金］6:30～22:00［土］7:30～20:00［日・祝］7:30～19:00
日曜営業
定休日
無休"
225,"営業時間
［月～金］11:00～20:00（L.O.19:30）［土］11:00～18:00（L.O.17:30）
定休日
日曜・第３月曜"
226,"営業時間
[月～日]10:00 - 20:00
日曜営業
定休日
不定休（大丸に準ずる）"
227,"営業時間
7:00～17：0017:00～23:00（Ｂａｒタイム）
日曜営業
定休日
年中無休"
228,"営業時間
[月～金] 7:00～22:00 [土] 7:00～21:00
定休日
日曜・祝祭日"
229,"営業時間
［月～木］6:30～22:00［金］6:30～22:30［土・日・祝］8:00～21:00
日曜営業
定休日
不定休"
230,"営業時間
[平日]11:00～14:00[土・日・祝]12:00～20:00
日曜営業
定休日
無休※雨天は休業させていただきます。"
231,"営業時間
11:00～16:00
定休日
月曜日、土曜日、日曜日"
232,"営業時間
[月～日]8:00～22:00
日曜営業
定休日
無休"
233,"営業時間
[月～金]7:00～20:00［土］8:00～20:00［日］9:00～19:00
日曜営業"
234,"営業時間
[月～金]7：30-22：00[土曜日]8：00-22：00[日・祝日]8：00-20：00 
日曜営業
定休日
なし"
235,
236,"営業時間
[月～金]7:00～21:00[土]8:00～19:00[日]8:00〜17:30
日曜営業"
237,
238,"営業時間
[月～金] 07:00～22:00 [土・日・祝] 08:00～22:00
定休日
年中無休"
239,
240,"営業時間
[月～金] 9:30～17:30 [土] 9:30～16:30
定休日
日曜日・偶数週土曜日・第4月曜日・国立国会図書館の休館日"
241,
242,"営業時間
［月～金］7:00～15:00 ［土・日］12:00～18:00
日曜営業
定休日
無休"
243,"営業時間
［月・火・水・木・日・祝］8:00～19:00［金・土・祝前］8:00～20:00
日曜営業
定休日
無休"
244,"営業時間
7:00～19:00
日曜営業
定休日
年中無休"
245,"営業時間
7:00～22:00
日曜営業
定休日
無休 (丸ビル休館日に準ずる)"
246,"営業時間
［月～土］8:00～22:00［日］8:00～21:00"
247,"営業時間
［月～金］6:45～21:00［土・日］9:00～19:00
日曜営業
定休日
無休"
248,"営業時間
[平日]7:00～19:00[土曜日]7:30～18:00[日曜日/祝日]8:00～17:00---
日曜営業
定休日
無休"
249,
250,
251,
252,"営業時間
9:30～18:00
定休日
土曜日、日曜日、祝日"
253,"営業時間
10:00～21:00
日曜営業"
254,"営業時間
[日～火・木] 11:30～18:00[金・土]11:30～21:00
日曜営業
定休日
水曜日"
255,"営業時間
月～木 10:00～22:00金・土 10:00~23:00日祝日 10:00~22:00
日曜営業
定休日
無休"
256,
257,"営業時間
[月～金]7:00～22:30[土・日・祝]8:00～22:00
日曜営業
定休日
不定休"
258,"営業時間
10:00-23:00(L.O.22:30)
日曜営業
定休日
不定休（有楽町イトシアに準ずる）"
259,"営業時間
[月～土]7:00～22:00[日・祝]7:00～21:00
日曜営業
定休日
無休"
260,"営業時間
[火～金]12:00～17:00[土・日・祝]12:00～18:00
日曜営業
定休日
月曜日、他に不定休あり"
261,"営業時間
[月～土曜]10:00～20:00 [日・祝]11:00～20:00
日曜営業
定休日
無"
262,"営業時間
［月～金］6:45～22:00［土・日・祝］7:00～22:00
日曜営業
定休日
無休"
263,"営業時間
7:00～21:00
定休日
土・日・祝"
264,"営業時間
［月～金］9:00～21:00［土］11:00～18:00
定休日
日曜日、祝日"
265,"営業時間
6:30～21:30
日曜営業
定休日
不定休"
266,"営業時間
朝   食      7:00~11:00(L.O.10:30)ランチ～ディナー    11:00~22:00(L.O.21:30)＊当面の間20:00まで＊ランチ～ディナーまで同じ料理となります。
日曜営業
定休日
無し"
267,"営業時間
7:00～19:00＜土・日＞ 7:00～18:00
日曜営業
定休日
年中無休"
268,"営業時間
［月～金］10:00～18:00［土］11:00～17:00
定休日
日曜日"
269,"営業時間
9:00～21:00
日曜営業
定休日
無休"
270,"営業時間
11:00～23:00
日曜営業
定休日
平日の月曜日、月曜が祝日の場合は月曜以降の休み明けの平日がお休みとなります"
271,"営業時間
ランチ11:30～15:00(L.O14:30)カフェ(食事メニューあり)15:00～18:00(L.O17:30)コロナ禍により下記夜営業は休止していますディナー17:00～22:00(L.O21:00)土日祝(日によって違う)〜20:30(L.O20:00)
日曜営業
定休日
毎週月曜日"
272,"営業時間
11:00～22:00(L.O.21:00)
定休日
不定休(東京ミッドタウン日比谷に準ずる)"
273,"営業時間
［月～土］11:00～21:00［日・祝］11:00～20:00
日曜営業
定休日
不定休（新丸の内ビルディングに準ずる）"
274,
