genre,store_name,business_hours,address,url,Cleaned_Address,Longitude,Latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ガソリンスタンド,Dr.Drive オートジョイ環七馬込SS / 垣見油化(株),['08:00~20:00'],東京都大田区東馬込2-19-7,N/A,東京都大田区東馬込2-19-7,139.715378,35.593658,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,Dr.Drive 中目黒SS / 二引(株),['07:30~20:00'],東京都目黒区中目黒3-1-1,N/A,東京都目黒区中目黒3-1-1,139.700851,35.642292,['07:30~20:00'],['07:30~20:00'],['07:30~20:00'],['07:30~20:00'],['07:30~20:00'],['07:30~20:00'],['07:30~20:00']
ガソリンスタンド,青梅SS  / (株)NSコーポレーション,['08:30~19:30'],東京都青梅市河辺町6-30-9,N/A,東京都青梅市河辺町6-30-9,139.293396,35.77739,['08:30~19:30'],['08:30~19:30'],['08:30~19:30'],['08:30~19:30'],['08:30~19:30'],['08:30~19:30'],['08:30~19:30']
ガソリンスタンド,中野SS / 渋谷石油(株),['07:00~22:00'],東京都中野区上高田2-1-7,N/A,東京都中野区上高田2-1-7,139.671906,35.709427,['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00'],['07:00~22:00']
ガソリンスタンド,羽村SS  / (株)NSコーポレーション,['08:00~20:00'],東京都羽村市神明台2-2-9,N/A,東京都羽村市神明台2-2-9,139.32251,35.760029,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,砂川SS / (株)NSコーポレーション,['0:00~23:59'],東京都立川市砂川町4-18-1,N/A,東京都立川市砂川町4-18-1,139.399719,35.725006,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,Dr.Drive 蓮沼SS / 二引(株),['08:00~19:00'],東京都大田区西蒲田7-16-3,N/A,東京都大田区西蒲田7-16-3,139.709152,35.564487,['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00'],['08:00~19:00']
ガソリンスタンド,Dr.Drive 北馬込SS / 日新商事(株),['08:00~20:00'],東京都大田区北馬込1-33-5,N/A,東京都大田区北馬込1-33-5,139.707626,35.601089,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,Dr.Drive 新田端SS / 日新商事(株),['08:00~21:00'],東京都北区田端新町3-13-9,N/A,東京都北区田端新町3-13-9,139.762726,35.742592,['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00']
ガソリンスタンド,Dr.Drive 王子SS / 日新商事(株),['08:00~20:00'],東京都北区王子1-27-12,N/A,東京都北区王子1-27-12,139.740753,35.755432,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,Dr.Drive 高円寺SS / 日新商事(株),['07:00~21:00'],東京都杉並区高円寺南4-13-1,N/A,東京都杉並区高円寺南4-13-1,139.65448,35.702477,['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00'],['07:00~21:00']
ガソリンスタンド,プレミアムラウンジ戸越SS / 旭商事(株),['07:00~20:00'],東京都品川区平塚1-21-10,N/A,東京都品川区平塚1-21-10,139.715256,35.611855,['07:00~20:00'],['07:00~20:00'],['07:00~20:00'],['07:00~20:00'],['07:00~20:00'],['07:00~20:00'],['07:00~20:00']
ガソリンスタンド,Dr.Drive オートジョイ吉祥寺SS / 垣見油化(株),['08:00~21:00'],東京都武蔵野市吉祥寺南町3-5-3,N/A,東京都武蔵野市吉祥寺南町3-5-3,139.585632,35.699898,['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00']
