genre,store_name,business_hours,address,url,Cleaned_Address,Latitude,Longitude
居酒屋,ゆるり。 酒槽,"営業時間
[月～木・日] 17:00～23:30(L.O.22:30　ﾄﾞﾘﾝｸ23：00)[金・土・祝前日] 17:00～翌1:00(L.O.24:00　ﾄﾞﾘﾝｸ24：30)
日曜営業
定休日
無休",東京都町田市原町田6-21-17 Ｆビル　Ｂ１Ｆ,https://tabelog.com/tokyo/A1327/A132701/13053524/,東京都町田市原町田6-21-17 Ｆビル　Ｂ１Ｆ,139.448914,35.542976
居酒屋,炉ばた情緒かっこ 町田店,"営業時間
【月～木】17:00～24:00（LO=23:30）【金、祝前日】17:00～25:00（LO=24:30）【土】　16:00～25:00（LO=24:30）【日、祝日】16:00～24:00（LO=23:30）～12月・年末年始の営業時間のご案内～毎日＝16:00～OPENとなります。1/2、1/3＝16:00～25:00まで。※詳細については店舗までお問い合わせ下さい。
日曜営業
定休日
年中無休。※12/31,1/1は店休日となります。※ビルの休館日に準ずる。",東京都町田市原町田6-10-15 新光町田ビル 3F,https://tabelog.com/tokyo/A1327/A132701/13140396/,東京都町田市原町田6-10-15 新光町田ビル 3F,139.446381,35.543449
居酒屋,きばらし,"営業時間
月曜日〜土曜日17時〜0時(L.Oフード23時、ドリンク23時半)深夜帯0時〜5時
定休日
日曜日",東京都町田市原町田6-15-16 コマヤビル 2F,https://tabelog.com/tokyo/A1327/A132701/13271847/,東京都町田市原町田6-15-16 コマヤビル 2F,139.44603,35.544964
居酒屋,鉄板 薊 町田店,"営業時間
［月～日、祝日、祝前日］【ランチ】　12:00~15:00　※コースのみ【ディナー】16:00～24:00（料理L.O. 23:00 ドリンクL.O. 23:30）
日曜営業
定休日
不定休",東京都町田市原町田6-20-10 中野屋ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13272755/,東京都町田市原町田6-20-10 中野屋ビル 2F,139.447998,35.54385
居酒屋,炉端とおでん 呼炉凪来 町田店,"営業時間
16:00〜0:00
日曜営業
定休日
不定休",東京都町田市森野1-13-1 QSビル 4F,https://tabelog.com/tokyo/A1327/A132701/13288165/,東京都町田市森野1-13-1 QSビル 4F,139.443771,35.543934
居酒屋,やまよこ鮮魚店 町田店,"営業時間
【月～金・祝前日】　16時～２4時(ラストオーダー23時)【土・日・祝】　12時～２4時(ラストオーダー23時)時期により表記と異なる場合がございます。詳しくはお問い合わせくださいませ。
日曜営業
定休日
なし",東京都町田市原町田4-5-14 1F,https://tabelog.com/tokyo/A1327/A132701/13219437/,東京都町田市原町田4-5-14 1F,139.448761,35.541378
居酒屋,焼売のジョー 町田店,"営業時間
open12:00close 28:00（L.O フード27:00、27:30）
日曜営業
定休日
無休 領収書にインボイス番号を印字しております。",東京都町田市原町田6-11-13 1F-B,https://tabelog.com/tokyo/A1327/A132701/13249382/,東京都町田市原町田6-11-13 1F-B,139.446487,35.544098
居酒屋,はねあげ 町田本店,"営業時間
[営業時間](月～日)24時間営業！！
日曜営業
定休日
無休",東京都町田市原町田6-11-16,https://tabelog.com/tokyo/A1327/A132701/13206177/,東京都町田市原町田6-11-16,139.446198,35.543858
居酒屋,39鳥場大衆酒場,"営業時間
11:00～翌1:00（L.O.24:00、ドリンクL.O.24:30）
日曜営業
定休日
無",東京都町田市中町1-2-3 新光中町ビル 1F,https://tabelog.com/tokyo/A1327/A132701/13289438/,東京都町田市中町1-2-3 新光中町ビル 1F,139.445282,35.54604
居酒屋,2000円 食べ飲み放題 肉ときどきレモンサワー。 町田駅前店,"営業時間
［全日］16:00～23:30(Food L.O.22:30/Drink L.O.23:00)※予告なく変更･休業となる場合がございます。予めご了承ください。
日曜営業
定休日
無（※12/31～1/1を除く）",東京都町田市原町田6-10-17 荻原ビル 4F,https://tabelog.com/tokyo/A1327/A132701/13269924/,東京都町田市原町田6-10-17 荻原ビル 4F,139.446152,35.543415
居酒屋,炭屋 串兵衛 分家,"営業時間
営業時間16時00分 OPEN23時00分料理オーダーLast23時15分ドリンクオーダーLast24時00分 close
日曜営業
定休日
無休",東京都町田市原町田6-11-6,https://tabelog.com/tokyo/A1327/A132701/13055490/,東京都町田市原町田6-11-6,139.445679,35.544205
居酒屋,大衆食堂 てんぐ大ホール 町田旭町店,"営業時間
月～木曜日11：00～22：00金、土曜日11：00～23：00日曜日・祝日11：00～22：00
定休日
12月31日/1月1日",東京都町田市旭町1-2-3 スカイハイツビル 1F,https://tabelog.com/tokyo/A1327/A132701/13289641/,東京都町田市旭町1-2-3 スカイハイツビル 1F,139.43924,35.552952
居酒屋,匠ダイニング 町田北口店,"営業時間
昼　11:30～14:00(フード・ドリンクL.O13:30)夜　16:00～24:00(フードL.O 23:00 ドリンクL.O23:30)※１　14:00～16:00店休※２　状況により閉店時間が早まる場合有り
日曜営業
定休日
12/24、1/1〜1/4年末年始休業",東京都町田市森野1-36-1,https://tabelog.com/tokyo/A1327/A132701/13168283/,東京都町田市森野1-36-1,139.444931,35.545654
居酒屋,肉豆冨とレモンサワー 大衆食堂 安べゑ 小田急町田南口店,"営業時間
【営業時間】月～木、日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）金、土: 11:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）12/30～1/4は営業時間を変更する場合がございます。ご来店の際は店舗までお問い合わせください。
日曜営業
定休日
無休",東京都町田市原町田6-11-8 八百茂ビル1F,https://tabelog.com/tokyo/A1327/A132701/13262058/,東京都町田市原町田6-11-8 八百茂ビル1F,139.445923,35.544376
居酒屋,中華酒場 三百楽 町田店,"営業時間
11:00～24:00（L.O.23:30）
日曜営業
定休日
無休",東京都町田市森野1-26-23 松本ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13245707/,東京都町田市森野1-26-23 松本ビル 2F,139.443954,35.546131
居酒屋,大衆居酒屋もんじゃ酒場 だしや 町田店,"営業時間
[月～木・日・祝]12:00～24:00 [金～土・祝前日]12:00〜翌4:00（料理L.O.60分前、ドリンクL.O.30分前）※当日が祝日で翌日が土曜日または、祝日の場合は土曜営業時間【年末年始営業日の営業時間】※12/28〜1/2：土曜営業時間　※1/3：日曜営業時間  ※12月28日～1月3日：年末年始料金10％いただきます。
日曜営業
定休日
年始(1/1)、他無休！　町田に誕生した、種類豊富なもんじゃと今治焼鳥が自慢のもんじゃ焼き酒場。お酒との相性◎なおつまみも勢ぞろいしております！",東京都町田市原町田4-7-18 長岡ビル 1F・2F,https://tabelog.com/tokyo/A1327/A132701/13278620/,東京都町田市原町田4-7-18 長岡ビル 1F・2F,139.448853,35.540981
居酒屋,炭焼酒場 鳥KING,"営業時間
11：00～24：00
日曜営業
定休日
無休",東京都町田市原町田6-17-2,https://tabelog.com/tokyo/A1327/A132701/13263440/,東京都町田市原町田6-17-2,139.446899,35.54491
居酒屋,隠れ房 町田店,"営業時間
【月～金】17:00～23:00【土・日・祝】12:00～14:3017:00～23:00上記営業時間外でのご予約ご希望のお問い合わせは直接店舗へご連絡ください
日曜営業
定休日
無し",東京都町田市原町田6-13-17 アーバンミサワビル 3F,https://tabelog.com/tokyo/A1327/A132701/13189654/,東京都町田市原町田6-13-17 アーバンミサワビル 3F,139.446884,35.543781
居酒屋,木村屋本店 町田駅前,"営業時間
[日～木]12:00～23：00（LO 22：00)[金・土・祝前日]12:00～23：00（LO 22：30)
日曜営業
定休日
不定休　12／31店休",東京都町田市原町田6-13-15,https://tabelog.com/tokyo/A1327/A132701/13101646/,東京都町田市原町田6-13-15,139.447098,35.543575
居酒屋,めがね庵,"営業時間
【水〜日】18:00〜23:00※少人数貸切等随時ご相談ください！（飲み放題付コースございます）※月曜定休です。予約不可※夜の営業はかき氷の提供はしてません。詳しい営業時間は電話にてお問い合わせ下さい。
日曜営業
定休日
月・火",東京都町田市原町田3-6-12,https://tabelog.com/tokyo/A1327/A132701/13055566/,東京都町田市原町田3-6-12,139.451172,35.54121
居酒屋,2000円 食べ放題飲み放題 居酒屋 おすすめ屋 町田店,"営業時間
月～金 17:00～23:30（L.O.23:00）※最終来店時間22:30土、日 16:00～23:30（L.O.23:00）※最終来店時間22:30
日曜営業
定休日
無 ※12/31～1/3は休みとさせて頂きます。",東京都町田市原町田6-10-17 萩原ビル 3F,https://tabelog.com/tokyo/A1327/A132701/13250927/,東京都町田市原町田6-10-17 萩原ビル 3F,139.446152,35.543415
居酒屋,くいもん屋 わん コビルナ町田店,"営業時間
【全日】16:00～25:00（LO=24:40）※12/31＝16:00～23:00までの営業時間となります。※詳細につきましては店舗までお問い合わせ下さい。
日曜営業
定休日
年中無休。※1/1は店休日となります。※ビルの休館日に準ずる",東京都町田市原町田6-9-19 コビルナ町田ビルB1,https://tabelog.com/tokyo/A1327/A132701/13096703/,東京都町田市原町田6-9-19 コビルナ町田ビルB1,139.446396,35.543232
居酒屋,函三郎 町田店,"営業時間
[平日]◇15:00-23:30 (LO.22:30)[土•祝前]◇11:30-23:30 (LO.22:30)[日•祝日]◇11:30-23:00 (LO.22:00)※年末年始の特別営業時間※12月31日（日）15:00〜22:301月1日（月）15:00〜23:001月2日（火）11:30〜23:00
日曜営業
定休日
定休日なし。",東京都町田市原町田6-19-10 立木ビル 1F,https://tabelog.com/tokyo/A1327/A132701/13132720/,東京都町田市原町田6-19-10 立木ビル 1F,139.447708,35.543873
居酒屋,宮崎県日南市 塚田農場 町田店,"営業時間
16:00〜23:00（L.O.22:00）予告なく営業時間の短縮させて頂くことがございます。予めご了承くださいませ。
日曜営業
定休日
諸般の事情により、予告なく休業させて頂くことがございます。予めご了承くださいませ。営業日については直接店舗へお問い合わせください。",東京都町田市原町田6-9-18 ＴＮスクエア　７Ｆ,https://tabelog.com/tokyo/A1327/A132701/13115151/,東京都町田市原町田6-9-18 ＴＮスクエア　７Ｆ,139.446472,35.543152
居酒屋,獅子丸 町田総本店,"営業時間
[モーニング]7:00～9:00（土日祝）10:00[ランチ]11:30～15:00（L.O14:30）[ディナー]17:00~23:00(L.O22:00)土日は通し営業しております。
日曜営業
定休日
年中無休【12月31日通常営業・1月1日お休み・1月2日より通常営業】",東京都町田市森野1-12-15 ホテルリソル町田 1F,https://tabelog.com/tokyo/A1327/A132701/13206895/,東京都町田市森野1-12-15 ホテルリソル町田 1F,139.442719,35.54443
居酒屋,遊べる居酒屋 町田スタジアム,"営業時間
18:00~24:00L.O23:00
日曜営業
定休日
無し",東京都町田市原町田4-6-5 2F,https://tabelog.com/tokyo/A1327/A132701/13245423/,東京都町田市原町田4-6-5 2F,139.449066,35.541573
居酒屋,福包酒場 町田レンガ通り一番街店,"営業時間
【月～金】16:00～23:30（22:30　ラストオーダー）【土】12:00～23:30（22:30　ラストオーダー）【日・祝日】12:00～22:30（21:30　ラストオーダー）
日曜営業
定休日
無休",東京都町田市原町田6‐11‐17 永楽苑ビル,https://tabelog.com/tokyo/A1327/A132701/13284331/,東京都町田市原町田6‐11‐17 永楽苑ビル,139.446045,35.543793
居酒屋,大衆イタリアン かね子 町田店,"営業時間
《営業時間》土日祝日14:00 - 23:00月～金16:00 - 23:00
日曜営業
定休日
年末年始",東京都町田市森野1-13-22 リバーウエスト町田 1F,https://tabelog.com/tokyo/A1327/A132701/13228479/,東京都町田市森野1-13-22 リバーウエスト町田 1F,139.443832,35.544075
居酒屋,大衆酒場 かね子 町田店,"営業時間
【月～木】16:00～23:00【金】16:00～23:30【土】14:00～23:30【日・祝】14:00～23:00
日曜営業
定休日
年末年始",東京都町田市原町田6-11-15-1 トルテ・アダチビル 1F,https://tabelog.com/tokyo/A1327/A132701/13263198/,東京都町田市原町田6-11-15-1 トルテ・アダチビル 1F,139.446335,35.543926
居酒屋,韓国居酒屋 いる,"営業時間
17:00～24:00
日曜営業
定休日
1月1日12月31日",東京都町田市原町田6-20-13 ヤマダイビル　２Ｆ,https://tabelog.com/tokyo/A1327/A132701/13016438/,東京都町田市原町田6-20-13 ヤマダイビル　２Ｆ,139.447586,35.543617
居酒屋,日欧酒場 神のよだれ,"営業時間
17:00～24:00（L.O.23:00）
日曜営業
定休日
無休",東京都町田市原町田4-2-4 ハイストーン4ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13171432/,東京都町田市原町田4-2-4 ハイストーン4ビル 2F,139.447357,35.541874
