genre,store_name,business_hours,address,url
居酒屋,2000円 食べ放題飲み放題 居酒屋 おすすめ屋 町田店,"営業時間
月～金 17:00～23:30（L.O.23:00）※最終来店時間22:30土、日 16:00～23:30（L.O.23:00）※最終来店時間22:30
日曜営業
定休日
無 ※12/31～1/3は休みとさせて頂きます。",東京都町田市原町田6-10-17 萩原ビル 3F,https://tabelog.com/tokyo/A1327/A132701/13250927/
居酒屋,くいもん屋 わん コビルナ町田店,"営業時間
【全日】16:00～25:00（LO=24:40）※12/31＝16:00～23:00までの営業時間となります。※詳細につきましては店舗までお問い合わせ下さい。
日曜営業
定休日
年中無休。※1/1は店休日となります。※ビルの休館日に準ずる",東京都町田市原町田6-9-19 コビルナ町田ビルB1,https://tabelog.com/tokyo/A1327/A132701/13096703/
居酒屋,函三郎 町田店,"営業時間
[平日]◇15:00-23:30 (LO.22:30)[土•祝前]◇11:30-23:30 (LO.22:30)[日•祝日]◇11:30-23:00 (LO.22:00)※年末年始の特別営業時間※12月31日（日）15:00〜22:301月1日（月）15:00〜23:001月2日（火）11:30〜23:00
日曜営業
定休日
定休日なし。",東京都町田市原町田6-19-10 立木ビル 1F,https://tabelog.com/tokyo/A1327/A132701/13132720/
居酒屋,宮崎県日南市 塚田農場 町田店,"営業時間
16:00〜23:00（L.O.22:00）予告なく営業時間の短縮させて頂くことがございます。予めご了承くださいませ。
日曜営業
定休日
諸般の事情により、予告なく休業させて頂くことがございます。予めご了承くださいませ。営業日については直接店舗へお問い合わせください。",東京都町田市原町田6-9-18 ＴＮスクエア　７Ｆ,https://tabelog.com/tokyo/A1327/A132701/13115151/
居酒屋,獅子丸 町田総本店,"営業時間
[モーニング]7:00～9:00（土日祝）10:00[ランチ]11:30～15:00（L.O14:30）[ディナー]17:00~23:00(L.O22:00)土日は通し営業しております。
日曜営業
定休日
年中無休【12月31日通常営業・1月1日お休み・1月2日より通常営業】",東京都町田市森野1-12-15 ホテルリソル町田 1F,https://tabelog.com/tokyo/A1327/A132701/13206895/
居酒屋,遊べる居酒屋 町田スタジアム,"営業時間
18:00~24:00L.O23:00
日曜営業
定休日
無し",東京都町田市原町田4-6-5 2F,https://tabelog.com/tokyo/A1327/A132701/13245423/
居酒屋,福包酒場 町田レンガ通り一番街店,"営業時間
【月～金】16:00～23:30（22:30　ラストオーダー）【土】12:00～23:30（22:30　ラストオーダー）【日・祝日】12:00～22:30（21:30　ラストオーダー）
日曜営業
定休日
無休",東京都町田市原町田6‐11‐17 永楽苑ビル,https://tabelog.com/tokyo/A1327/A132701/13284331/
居酒屋,大衆イタリアン かね子 町田店,"営業時間
《営業時間》土日祝日14:00 - 23:00月～金16:00 - 23:00
日曜営業
定休日
年末年始",東京都町田市森野1-13-22 リバーウエスト町田 1F,https://tabelog.com/tokyo/A1327/A132701/13228479/
居酒屋,大衆酒場 かね子 町田店,"営業時間
【月～木】16:00～23:00【金】16:00～23:30【土】14:00～23:30【日・祝】14:00～23:00
日曜営業
定休日
年末年始",東京都町田市原町田6-11-15-1 トルテ・アダチビル 1F,https://tabelog.com/tokyo/A1327/A132701/13263198/
居酒屋,韓国居酒屋 いる,"営業時間
17:00～24:00
日曜営業
定休日
1月1日12月31日",東京都町田市原町田6-20-13 ヤマダイビル　２Ｆ,https://tabelog.com/tokyo/A1327/A132701/13016438/
居酒屋,日欧酒場 神のよだれ,"営業時間
17:00～24:00（L.O.23:00）
日曜営業
定休日
無休",東京都町田市原町田4-2-4 ハイストーン4ビル 2F,https://tabelog.com/tokyo/A1327/A132701/13171432/
居酒屋,格安ビールと鉄鍋餃子 3・6・5酒場 町田駅前店,"営業時間
12:00～23:00(フードLO22:30/ドリンクLO22:45)
日曜営業
定休日
ビルに準ずる　※営業時間・メニュー内容は変更となる場合がございますので、詳細は店舗までお問合せください。",東京都町田市原町田6-3-11 ユニオンスクウェア 2F,https://tabelog.com/tokyo/A1327/A132701/13252160/
居酒屋,三日月堂,"営業時間
15:00〜24:00ラストオーダー23:00
日曜営業
定休日
無休",東京都町田市原町田6-17-19 ２Ｆ,https://tabelog.com/tokyo/A1327/A132701/13037155/
居酒屋,日本酒ラボ,"営業時間
ランチ　12：00～16：00（L.O.15：45）ディナー　17：00～23：00（L.O.22：30）（通常時）※ランチは完全予約制です。
日曜営業
定休日
月曜日（月曜祝日の場合は翌日休み）",東京都町田市森野1-34-13 TMビル 2F,https://tabelog.com/tokyo/A1327/A132701/13173493/
居酒屋,酒処 やき善,"営業時間
【火～日・祝】17:00～23:30 (L.O.23:00)
日曜営業
定休日
月曜日",東京都町田市原町田5-4-2 ルミナス 1F,https://tabelog.com/tokyo/A1327/A132701/13251257/
居酒屋,沖縄酒場 じゅにまーる 町田レンガ通り一番街,"営業時間
月～金16：00-23：30(LO:23009)土日祝12：00-23：30(LO:23：00)＜12月＞12/29    14〜23時半12/30    12〜23時半12/31     12〜22時半元旦　　休業＜1月＞1/2         14時〜23時半1/3         14時〜23時半1/4日以降通常営業
日曜営業
定休日
なし",東京都町田市原町田6-11-17,https://tabelog.com/tokyo/A1327/A132701/13282896/
居酒屋,和バル ビロク,"営業時間
17：00～22：30
日曜営業
定休日
月曜・不定休日あり",東京都町田市中町1-16-14 B1F,https://tabelog.com/tokyo/A1327/A132701/13222653/
居酒屋,大衆ジンギスカン酒場ラムちゃん 町田店,"営業時間
平日16:00~23:00（L.O.22:30/お食事・お飲み物）土日祝12:00~23:00（L.O.22:30/お食事・お飲み物）
日曜営業
定休日
不定休",東京都町田市原町田4-5-22,https://tabelog.com/tokyo/A1327/A132701/13253276/
