store_name,address,business_hours,Cleaned_Address,Longitude,Latitude
中丸SS / (有)ペトロベスト,東京都板橋区中丸町43-1,['07:00~21:00'],東京都板橋区中丸町43-1,139.702591,35.743225
新板橋SS / (有)ペトロベスト,東京都板橋区板橋2-41-7,['07:00~20:00'],東京都板橋区板橋2-41-7,139.714371,35.749237
天現寺SS / (株)千代田エネルギー,東京都港区南麻布4-13-4,['08:00~20:00'],東京都港区南麻布4-13-4,139.723694,35.646992
Dr.Drive 松月院通り店 / 川端石油(株),東京都板橋区赤塚5-2-6,['08:00~20:00'],東京都板橋区赤塚5-2-6,139.645523,35.779461
環七一之江SS / 共栄石油(株),東京都江戸川区一之江1-3-7,['0:00~23:59'],東京都江戸川区一之江1-3-7,139.88208,35.699039
環七瑞江SS / 共栄石油(株),東京都江戸川区西瑞江5-1-1,['0:00~23:59'],東京都江戸川区西瑞江5-1-1,139.881485,35.682102
Dr.Drive WE’LLヌクイSS / (株)松勇,東京都練馬区貫井4-16-4,['07:00~21:00'],東京都練馬区貫井4-16-4,139.631897,35.742748
南田中SS / (株)井口鉱油,東京都練馬区南田中4-13-26,['0:00~23:59'],東京都練馬区南田中4-13-26,139.614532,35.7351
EneJet真中SS / 関東燃料(株),東京都世田谷区駒沢1-13-14,['0:00~23:59'],東京都世田谷区駒沢1-13-14,139.659576,35.632111
大井町SS / (株)リブエナジーシステムズ,東京都品川区東大井2-1-10,['0:00~23:59'],東京都品川区東大井2-1-10,139.740646,35.603279
城北SS / 城北石油(株),東京都北区神谷3-29-20,['07:00~20:00'],東京都北区神谷3-29-20,139.733063,35.772076
Dr.Drive セルフ西大島SS / (株)ソニックス,東京都江東区大島2-20-18,['0:00~23:59'],東京都江東区大島2-20-18,139.8246,35.689434
ソニックス Dr.Drive 東大島SS / (株)ソニックス,東京都江東区大島5-37-10,['07:00~20:00'],東京都江東区大島5-37-10,139.836136,35.688164
オートイン福生店 / 金桝石油(株),東京都福生市志茂16,['07:00~20:00'],東京都福生市志茂16,139.328674,35.735367
Dr.Drive 江戸店 / 日新石油(株),東京都江戸川区南小岩3-24-16,['07:30~20:00'],東京都江戸川区南小岩3-24-16,139.889236,35.723995
セルフ足立六月SS / 清和石油販売(株),東京都足立区六月3-2-1,['07:00~21:00'],東京都足立区六月3-2-1,139.791641,35.785625
セルフ水元公園SS / ヤマヒロ(株),東京都葛飾区南水元4-8-9,['0:00~23:59'],東京都葛飾区南水元4-8-9,139.858978,35.780064
環7亀有SS / 出光リテール販売(株),東京都足立区中川4-30-11,['0:00~23:59'],東京都足立区中川4-30-11,139.847031,35.771736
セルフ京葉口SS / 出光リテール販売(株),東京都江戸川区松江1-10-10,['03:00~26:00'],東京都江戸川区松江1-10-10,139.870117,35.703098
16号八王子インターSS / (株)東日本宇佐美,東京都八王子市宇津木町761-1,['0:00~23:59'],東京都八王子市宇津木町761-1,139.352615,35.681721
セルフ新宿目白SS / (株)東日本宇佐美,東京都新宿区下落合4-27-2,['08:00~22:30'],東京都新宿区下落合4-27-2,139.698456,35.722122
環七江戸川SS / (株)東日本宇佐美,東京都江戸川区大杉4-3-2,['0:00~23:59'],東京都江戸川区大杉4-3-2,139.880096,35.708969
西新井大師前SS / (株)ENEOSジェネレーションズ,東京都足立区西新井7-1-1,['0:00~23:59'],東京都足立区西新井7-1-1,139.773849,35.778286
EneJet金町SS / 中外石油(株),東京都葛飾区金町4-1-1,['0:00~23:59'],東京都葛飾区金町4-1-1,139.863739,35.762951
【navi】板橋SS / ナヴィ(株),東京都板橋区坂下3-4-2,['07:00~22:00'],東京都板橋区坂下3-4-2,139.685181,35.786846
246号つくし野横浜インターSS / (株)東日本宇佐美,東京都町田市つくし野4-36-1,['0:00~23:59'],東京都町田市つくし野4-36-1,139.485916,35.525047
Dr.Drive セルフ東久留米店 / (株)ENEOSフロンティア,東京都東久留米市八幡町1-1-63,['0:00~23:59'],東京都東久留米市八幡町1-1-63,139.515366,35.757866
尾山台SS / サンユエネルギー(株),東京都世田谷区尾山台3-6-3,['07:00~21:00'],東京都世田谷区尾山台3-6-3,139.654358,35.603199
Dr.Drive セルフ花小金井店 / (株)ENEOSフロンティア,東京都小平市花小金井3-21-10,['0:00~23:59'],東京都小平市花小金井3-21-10,139.513382,35.738075
ソニックス Dr.Drive 江東住吉SS / (株)ソニックス,東京都江東区住吉1-3-7,['07:00~20:00'],東京都江東区住吉1-3-7,139.810501,35.688534
東調布SS / 高砂興産(株),東京都大田区鵜の木3-5-1,['08:00~19:00'],東京都大田区鵜の木3-5-1,139.677704,35.578995
わくわくステーション立石SS / 坂上石油(株),東京都葛飾区立石8-18-17,['07:00~19:00'],東京都葛飾区立石8-18-17,139.85379,35.741386
Dr.Drive R6葛飾青戸SS / 共栄石油(株),東京都葛飾区青戸4-14-10,['0:00~23:59'],東京都葛飾区青戸4-14-10,139.849808,35.751858
セルフ羽根木SS / 出光リテール販売(株),東京都世田谷区羽根木1-5-16,['0:00~23:59'],東京都世田谷区羽根木1-5-16,139.660416,35.664021
セルフ徳丸SS / イタバシ(株),東京都板橋区徳丸6-48-9,['0:00~23:59'],東京都板橋区徳丸6-48-9,139.663239,35.780327
セルフ平和島口SS / 昭和礦油(株),東京都大田区大森本町1-9-11,['0:00~23:59'],東京都大田区大森本町1-9-11,139.736832,35.582249
セルフ日の出インターSS / ヤマヒロ(株),東京都西多摩郡日の出町平井18,['0:00~23:59'],東京都西多摩郡日の出町平井18,139.279236,35.739864
セルフ調布南SS / 出光リテール販売(株),東京都調布市多摩川1-51-1,['06:30~22:00'],東京都調布市多摩川1-51-1,139.532318,35.648731
調布警察署前SS / ユニオン石油(株),東京都調布市国領町2-23-1,['0:00~23:59'],東京都調布市国領町2-23-1,139.561478,35.652748
梅郷SS / (有)ホンダ,東京都青梅市梅郷6-1336,['06:15~19:30'],東京都青梅市梅郷6-1336,139.219879,35.791683
R6墨田向島SS / 共栄石油(株),東京都墨田区東向島6-1-4,['0:00~23:59'],東京都墨田区東向島6-1-4,139.818604,35.722534
北小岩SS / 井原商事(有),東京都江戸川区北小岩2-32-3,['0:00~23:59'],東京都江戸川区北小岩2-32-3,139.886612,35.737171
白鬚橋SS / 中外石油(株),東京都荒川区南千住3-12-9,['0:00~23:59'],東京都荒川区南千住3-12-9,139.802689,35.729126
六番町SS / 中外石油(株),東京都千代田区六番町2-2,['07:30~20:00'],東京都千代田区六番町2-2,139.734894,35.688583
船堀松江SS / 共栄石油(株),東京都江戸川区松江6-1-21,['0:00~23:59'],東京都江戸川区松江6-1-21,139.870804,35.684563
北千住SS / (株)井口油店,東京都足立区千住宮元町2-6,['07:30~22:00'],東京都足立区千住宮元町2-6,139.797668,35.745296
ふるーる拝島SS / (株)京南,東京都昭島市拝島町3-15-11,['06:00~23:00'],東京都昭島市拝島町3-15-11,139.336807,35.713005
村山団地SS / (株)ENEOSジェネレーションズ,東京都東大和市芋窪6-1010,['04:00~27:00'],東京都東大和市芋窪6-1010,139.409424,35.748802
町田金森SS / 鶴見石油(株),東京都町田市金森3-21-15,['0:00~23:59'],東京都町田市金森3-21-15,139.462952,35.528423
